       gamfz        mwfz         tfz           p       ispfz
   1.2568E+00  1.8353E+01  2.7103E+03  6.0000E+01  0.0000E+00
   1.2621E+00  1.8353E+01  2.3985E+03  3.3153E+01  1.1711E+03
   1.2568E+00  1.8353E+01  2.7103E+03  6.0000E+01  8.8308E-05
   1.2567E+00  1.8356E+01  2.7122E+03  7.0000E+01  0.0000E+00
   1.2621E+00  1.8356E+01  2.4003E+03  3.8680E+01  1.1714E+03
   1.2567E+00  1.8356E+01  2.7122E+03  7.0000E+01        -NAN
   1.2566E+00  1.8359E+01  2.7138E+03  8.0000E+01  0.0000E+00
   1.2620E+00  1.8359E+01  2.4018E+03  4.4207E+01  1.1716E+03
   1.2566E+00  1.8359E+01  2.7138E+03  8.0000E+01  0.0000E+00
   1.2566E+00  1.8361E+01  2.7151E+03  9.0000E+01  0.0000E+00
   1.2619E+00  1.8361E+01  2.4030E+03  4.9734E+01  1.1718E+03
   1.2566E+00  1.8361E+01  2.7151E+03  9.0000E+01  1.8059E-04
   1.2565E+00  1.8363E+01  2.7162E+03  1.0000E+02  0.0000E+00
   1.2619E+00  1.8363E+01  2.4041E+03  5.5261E+01  1.1720E+03
   1.2565E+00  1.8363E+01  2.7162E+03  1.0000E+02        -NAN
   1.2565E+00  1.8365E+01  2.7172E+03  1.1000E+02  0.0000E+00
   1.2618E+00  1.8365E+01  2.4050E+03  6.0788E+01  1.1722E+03
   1.2565E+00  1.8365E+01  2.7172E+03  1.1000E+02        -NAN
   1.2565E+00  1.8366E+01  2.7181E+03  1.2000E+02  0.0000E+00
   1.2618E+00  1.8366E+01  2.4058E+03  6.6315E+01  1.1723E+03
   1.2565E+00  1.8366E+01  2.7181E+03  1.2000E+02  0.0000E+00
   1.2564E+00  1.8367E+01  2.7188E+03  1.3000E+02  0.0000E+00
   1.2618E+00  1.8367E+01  2.4065E+03  7.1842E+01  1.1724E+03
   1.2564E+00  1.8367E+01  2.7188E+03  1.3000E+02        -NAN
   1.2564E+00  1.8368E+01  2.7195E+03  1.4000E+02  0.0000E+00
   1.2617E+00  1.8368E+01  2.4071E+03  7.7369E+01  1.1725E+03
   1.2564E+00  1.8368E+01  2.7195E+03  1.4000E+02  1.4584E-04
   1.2564E+00  1.8369E+01  2.7201E+03  1.5000E+02  0.0000E+00
   1.2617E+00  1.8369E+01  2.4077E+03  8.2896E+01  1.1726E+03
   1.2564E+00  1.8369E+01  2.7201E+03  1.5000E+02  0.0000E+00
   1.2563E+00  1.8370E+01  2.7207E+03  1.6000E+02  0.0000E+00
   1.2617E+00  1.8370E+01  2.4082E+03  8.8423E+01  1.1727E+03
   1.2563E+00  1.8370E+01  2.7207E+03  1.6000E+02        -NAN
   1.2563E+00  1.8371E+01  2.7212E+03  1.7000E+02  0.0000E+00
   1.2617E+00  1.8371E+01  2.4087E+03  9.3950E+01  1.1728E+03
   1.2563E+00  1.8371E+01  2.7212E+03  1.7000E+02  1.1085E-04
   1.2403E+00  1.9645E+01  3.0658E+03  6.0000E+01  0.0000E+00
   1.2446E+00  1.9645E+01  2.7339E+03  3.3352E+01  1.2000E+03
   1.2403E+00  1.9645E+01  3.0658E+03  6.0000E+01  0.0000E+00
   1.2401E+00  1.9655E+01  3.0714E+03  7.0000E+01  0.0000E+00
   1.2443E+00  1.9655E+01  2.7392E+03  3.8913E+01  1.2008E+03
   1.2401E+00  1.9655E+01  3.0714E+03  7.0000E+01  0.0000E+00
   1.2399E+00  1.9663E+01  3.0761E+03  8.0000E+01  0.0000E+00
   1.2442E+00  1.9663E+01  2.7436E+03  4.4475E+01  1.2014E+03
   1.2399E+00  1.9663E+01  3.0761E+03  8.0000E+01  0.0000E+00
   1.2398E+00  1.9670E+01  3.0801E+03  9.0000E+01  0.0000E+00
   1.2440E+00  1.9670E+01  2.7473E+03  5.0037E+01  1.2019E+03
   1.2398E+00  1.9670E+01  3.0801E+03  9.0000E+01  0.0000E+00
   1.2397E+00  1.9676E+01  3.0835E+03  1.0000E+02  0.0000E+00
   1.2439E+00  1.9676E+01  2.7505E+03  5.5598E+01  1.2024E+03
   1.2397E+00  1.9676E+01  3.0835E+03  1.0000E+02  0.0000E+00
   1.2396E+00  1.9682E+01  3.0865E+03  1.1000E+02  0.0000E+00
   1.2438E+00  1.9682E+01  2.7533E+03  6.1160E+01  1.2028E+03
   1.2396E+00  1.9682E+01  3.0865E+03  1.1000E+02        -NAN
   1.2395E+00  1.9686E+01  3.0892E+03  1.2000E+02  0.0000E+00
   1.2437E+00  1.9686E+01  2.7558E+03  6.6723E+01  1.2032E+03
   1.2395E+00  1.9686E+01  3.0892E+03  1.2000E+02        -NAN
   1.2394E+00  1.9691E+01  3.0915E+03  1.3000E+02  0.0000E+00
   1.2436E+00  1.9691E+01  2.7581E+03  7.2285E+01  1.2035E+03
   1.2394E+00  1.9691E+01  3.0915E+03  1.3000E+02  1.5752E-04
   1.2393E+00  1.9694E+01  3.0937E+03  1.4000E+02  0.0000E+00
   1.2435E+00  1.9694E+01  2.7601E+03  7.7848E+01  1.2037E+03
   1.2393E+00  1.9694E+01  3.0937E+03  1.4000E+02  0.0000E+00
   1.2392E+00  1.9698E+01  3.0956E+03  1.5000E+02  0.0000E+00
